             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          37602580  gpu_ss11 D_100_15 hschamis PD       0:00      1 (Priority)
          38208821  gpu_ss11 sbatch.s peterkim PD       0:00      1 (Priority)
          38208831  gpu_ss11 compare.  klhhhhh PD       0:00      8 (Priority)
          38173505  gpu_ss11 flowPast    u6338 PD       0:00   1024 (Priority)
          37274324  gpu_ss11 Ge-band- hamzahsp PD       0:00      1 (Priority)
          37274325  gpu_ss11 Ge-band- hamzahsp PD       0:00      1 (Priority)
          38153799  gpu_ss11 4gpu_run   mtobin PD       0:00      1 (Priority)
          38154394  gpu_ss11 4gpu_run   mtobin PD       0:00      1 (Priority)
          38138517  gpu_ss11 m2322_g.   junsik PD       0:00    288 (Priority)
          38119407  gpu_ss11 mp13_g.b    rajan PD       0:00    288 (Priority)
          37338162  gpu_ss11 train_ud  rhusain PD       0:00      1 (Priority)
          37338177  gpu_ss11 train_ud  rhusain PD       0:00      1 (Priority)
          37474697  gpu_ss11 warpx_eq groenewa PD       0:00      2 (Priority)
          37637580  gpu_ss11 firework  pkamath PD       0:00      1 (Priority)
          37637582  gpu_ss11 firework  pkamath PD       0:00      1 (Priority)
          37644335  gpu_ss11 job-24hr victornr PD       0:00      1 (Priority)
          37644336  gpu_ss11 job-24hr victornr PD       0:00      1 (Priority)
          37752630  gpu_ss11 job-24hr victornr PD       0:00      1 (Priority)
          38156558  gpu_ss11    50_50 pokhreln PD       0:00      1 (Priority)
          37752631  gpu_ss11 job-24hr victornr PD       0:00      1 (Priority)
          38113289  gpu_ss11  vaspGPU rprodyut PD       0:00      1 (Priority)
          37549585  gpu_ss11   Filter      xju PD       0:00      1 (Priority)
          37435498  gpu_ss11 W-q0-241 f1zhang2 PD       0:00    256 (Priority)
          37926342  gpu_ss11    myjob    hftom PD       0:00      2 (Priority)
          38214163  gpu_ss11   nplqcd wdetmold PD       0:00    256 (Priority)
          38214367  gpu_ss11   AH1600      yri PD       0:00      4 (Priority)
          38214391  gpu_ss11 AH1600ML      yri PD       0:00      4 (Priority)
          37219885  gpu_ss11   081-01     yong PD       0:00     12 (Priority)
          37926374  gpu_ss11    myjob    hftom PD       0:00      2 (Priority)
          38215795  gpu_ss11   new.sh    anabi PD       0:00     36 (Priority)
          37973912  gpu_ss11 alignmen    si264 PD       0:00      1 (Priority)
          37999775  gpu_ss11 f246job5 davalv03 PD       0:00      1 (Priority)
          37999787  gpu_ss11 f246job5 davalv03 PD       0:00      1 (Priority)
          37973911  gpu_ss11 alignmen    si264 PD       0:00      1 (Priority)
          37344238  gpu_ss11 gpu_laun virkaran PD       0:00      1 (Priority)
          37474703  gpu_ss11 warpx_eq groenewa PD       0:00      2 (Priority)
          37995787  gpu_ss11    260_F pshanaha PD       0:00      1 (Priority)
          37995788  gpu_ss11    280_F pshanaha PD       0:00      1 (Priority)
          37995934  gpu_ss11    260_G aavkhadi PD       0:00      1 (Priority)
          37995935  gpu_ss11    280_G aavkhadi PD       0:00      1 (Priority)
          37995959  gpu_ss11    660_G   yangfu PD       0:00      1 (Priority)
          37995961  gpu_ss11    680_G   yangfu PD       0:00      1 (Priority)
          38024668  gpu_ss11 viscosit  chahal7 PD       0:00      6 (Priority)
          38036832  gpu_ss11      c75  chensd2 PD       0:00      1 (Priority)
          38216157  gpu_ss11 tp1s2T10 feranick PD       0:00      1 (Priority)
